,LOCATION,Country,INDICATOR,SUBJECT,MEASURE,Year,Value_edu,Value_tu
365,ISL,Iceland,EDUADULT,UPPSRY,PC_25_64,2009,37.08683,84.9
366,ISL,Iceland,EDUADULT,BUPPSRY,PC_25_64,2010,29.282290999999997,85.2
367,ISL,Iceland,EDUADULT,TRY,PC_25_64,2010,32.632442,85.2
368,ISL,Iceland,EDUADULT,UPPSRY,PC_25_64,2010,38.085266,85.2
369,ISL,Iceland,EDUADULT,BUPPSRY,PC_25_64,2011,29.195244,83.4
371,ISL,Iceland,EDUADULT,TRY,PC_25_64,2011,33.774651,83.4
373,ISL,Iceland,EDUADULT,UPPSRY,PC_25_64,2011,37.030105999999996,83.4
375,ISL,Iceland,EDUADULT,BUPPSRY,PC_25_64,2012,29.207808,85.3
376,ISL,Iceland,EDUADULT,TRY,PC_25_64,2012,35.01783,85.3
377,ISL,Iceland,EDUADULT,UPPSRY,PC_25_64,2012,35.774364,85.3
378,ISL,Iceland,EDUADULT,BUPPSRY,PC_25_64,2013,27.830322,87.8
380,ISL,Iceland,EDUADULT,TRY,PC_25_64,2013,36.08242,87.8
382,ISL,Iceland,EDUADULT,UPPSRY,PC_25_64,2013,36.087257,87.8
